LookupIndex,LookupTime(sec)
1,0.000000371
2,0.000001813
3,0.000001092
4,0.000002014
5,0.000001262
6,0.000002314
7,0.000000591
8,0.000002806
9,0.000000851
10,0.000002315
11,0.000000561
12,0.000000160
13,0.000000130
14,0.000000741
15,0.000000261
16,0.000000961
17,0.000000161
18,0.000000591
19,0.000000511
20,0.000002615
21,0.000000581
22,0.000001001
23,0.000000350
24,0.000001704
25,0.000000100
26,0.000000972
27,0.000000932
28,0.000001873
29,0.000000390
30,0.000000351
31,0.000000822
32,0.000000170
33,0.000002295
34,0.000001132
35,0.000001363
36,0.000000210
37,0.000003607
38,0.000001653
39,0.000000601
40,0.000000641
41,0.000000161
42,0.000000340
43,0.000000401
44,0.000001794
45,0.000000591
46,0.000000241
47,0.000000340
48,0.000000592
49,0.000000280
50,0.000002014
51,0.000000371
52,0.000000521
53,0.000000341
54,0.000000120
55,0.000003387
56,0.000001112
57,0.000000591
58,0.000000201
59,0.000000671
60,0.000000311
61,0.000000361
62,0.000001453
63,0.000000451
64,0.000001452
65,0.000001893
66,0.000000792
67,0.000002084
68,0.000001002
69,0.000002274
70,0.000001072
71,0.000000741
72,0.000001663
73,0.000000722
74,0.000000541
75,0.000000200
76,0.000001113
77,0.000001182
78,0.000000200
79,0.000001813
80,0.000000561
81,0.000000151
82,0.000001062
83,0.000000922
84,0.000001643
85,0.000000882
86,0.000000942
87,0.000000541
88,0.000000491
89,0.000000882
90,0.000000561
91,0.000000190
92,0.000000852
93,0.000002645
94,0.000000581
95,0.000001532
96,0.000000510
97,0.000001342
98,0.000000271
99,0.000001673
100,0.000000491
101,0.000001583
102,0.000000161
103,0.000002164
104,0.000002114
105,0.000000241
106,0.000000511
107,0.000001002
108,0.000000761
109,0.000000131
110,0.000000561
111,0.000001112
112,0.000001874
113,0.000000260
114,0.000002144
115,0.000000911
116,0.000000611
117,0.000001042
118,0.000001302
119,0.000001232
120,0.000002204
121,0.000001924
122,0.000001643
123,0.000001643
124,0.000000300
125,0.000001253
126,0.000000881
127,0.000001242
128,0.000000240
129,0.000000941
130,0.000000190
131,0.000000501
132,0.000000551
133,0.000000100
134,0.000000120
135,0.000003036
136,0.000000641
137,0.000001984
138,0.000001483
139,0.000000371
140,0.000000841
141,0.000002154
142,0.000001232
143,0.000000531
144,0.000001884
145,0.000000832
146,0.000001402
147,0.000002475
148,0.000002124
149,0.000002174
150,0.000000841
151,0.000000912
152,0.000000822
153,0.000001172
154,0.000000311
155,0.000000611
156,0.000000421
157,0.000001022
158,0.000001002
159,0.000000922
160,0.000002264
161,0.000000841
162,0.000000441
163,0.000001293
164,0.000000421
165,0.000000130
166,0.000000752
167,0.000001943
168,0.000001603
169,0.000001953
170,0.000000251
171,0.000000130
172,0.000000551
173,0.000000982
174,0.000000521
175,0.000000140
176,0.000001353
177,0.000000982
178,0.000001673
179,0.000000762
180,0.000000400
181,0.000001693
182,0.000001934
183,0.000000811
184,0.000000241
185,0.000002164
186,0.000000681
187,0.000000380
188,0.000000791
189,0.000000150
190,0.000000801
191,0.000001653
192,0.000002215
193,0.000000421
194,0.000000130
195,0.000000120
196,0.000001113
197,0.000000090
198,0.000001202
199,0.000001533
200,0.000000822
201,0.000001002
202,0.000000752
203,0.000002094
204,0.000002054
205,0.000000861
206,0.000001592
207,0.000000811
208,0.000001273
209,0.000000681
210,0.000001513
211,0.000001623
212,0.000000171
213,0.000000250
214,0.000000711
215,0.000000361
216,0.000000351
217,0.000002023
218,0.000000220
219,0.000001393
220,0.000001022
221,0.000000240
222,0.000000821
223,0.000000191
224,0.000000350
225,0.000000581
226,0.000002134
227,0.000000972
228,0.000000461
229,0.000000371
230,0.000000531
231,0.000000280
232,0.000001693
233,0.000000821
234,0.000000160
235,0.000000741
236,0.000001212
237,0.000001773
238,0.000001312
239,0.000000531
240,0.000000381
241,0.000000160
242,0.000000671
243,0.000001373
244,0.000000691
245,0.000000742
246,0.000001122
247,0.000002324
248,0.000001633
249,0.000000931
250,0.000000792
251,0.000000291
252,0.000001042
253,0.000001182
254,0.000000561
255,0.000001614
256,0.000000801
257,0.000000982
258,0.000000191
259,0.000000170
260,0.000001603
261,0.000001533
262,0.000000311
263,0.000000601
264,0.000000141
265,0.000000521
266,0.000000561
267,0.000000531
268,0.000000471
269,0.000001293
270,0.000000491
271,0.000002204
272,0.000001032
273,0.000001022
274,0.000000511
275,0.000000572
276,0.000001372
277,0.000001483
278,0.000000181
279,0.000000340
280,0.000000370
281,0.000000531
282,0.000000571
283,0.000000581
284,0.000000792
285,0.000001853
286,0.000000141
287,0.000001603
288,0.000000190
289,0.000001864
290,0.000001884
291,0.000001422
292,0.000000831
293,0.000000130
294,0.000001242
295,0.000000401
296,0.000000220
297,0.000001604
298,0.000000751
299,0.000002305
300,0.000000901
301,0.000000732
302,0.000001323
303,0.000001292
304,0.000001954
305,0.000001222
306,0.000000582
307,0.000001012
308,0.000001342
309,0.000000391
310,0.000000762
311,0.000000521
312,0.000000241
313,0.000000380
314,0.000001103
315,0.000001993
316,0.000002494
317,0.000000531
318,0.000000571
319,0.000000741
320,0.000000551
321,0.000000391
322,0.000000942
323,0.000000211
324,0.000000561
325,0.000000741
326,0.000000120
327,0.000002414
328,0.000001803
329,0.000000150
330,0.000001302
331,0.000001212
332,0.000000902
333,0.000000141
334,0.000000541
335,0.000000571
336,0.000001353
337,0.000000801
338,0.000001213
339,0.000000140
340,0.000000702
341,0.000001693
342,0.000000421
343,0.000000751
344,0.000000330
345,0.000000982
346,0.000001794
347,0.000001433
348,0.000000771
349,0.000000391
350,0.000001263
351,0.000000581
352,0.000000110
353,0.000001794
354,0.000000561
355,0.000001242
356,0.000000802
357,0.000000661
358,0.000000361
359,0.000000351
360,0.000001763
361,0.000001242
362,0.000001363
363,0.000000350
364,0.000001222
365,0.000000411
366,0.000001052
367,0.000000210
368,0.000000270
369,0.000000962
370,0.000000401
371,0.000000912
372,0.000000761
373,0.000000340
374,0.000000521
375,0.000000922
376,0.000000191
377,0.000000130
378,0.000001303
379,0.000000861
380,0.000001664
381,0.000000741
382,0.000001703
383,0.000000992
384,0.000000591
385,0.000000801
386,0.000000160
387,0.000002294
388,0.000000201
389,0.000000601
390,0.000002254
391,0.000000951
392,0.000002334
393,0.000001032
394,0.000001293
395,0.000000581
396,0.000000721
397,0.000000792
398,0.000000351
399,0.000001292
400,0.000000201
401,0.000000431
402,0.000001222
403,0.000000591
404,0.000001843
405,0.000001583
406,0.000000371
407,0.000001663
408,0.000001032
409,0.000001453
410,0.000001052
411,0.000000982
412,0.000001002
413,0.000001473
414,0.000000612
415,0.000000140
416,0.000000190
417,0.000000531
418,0.000001983
419,0.000000440
420,0.000000861
421,0.000000561
422,0.000001342
423,0.000000130
424,0.000001282
425,0.000000371
426,0.000000401
427,0.000000130
428,0.000000351
429,0.000000100
430,0.000000832
431,0.000000501
432,0.000000641
433,0.000001332
434,0.000000882
435,0.000002214
436,0.000000601
437,0.000001302
438,0.000000511
439,0.000001744
440,0.000000511
441,0.000000701
442,0.000001052
443,0.000001523
444,0.000001213
445,0.000000371
446,0.000001062
447,0.000002434
448,0.000000591
449,0.000000641
450,0.000000361
451,0.000000421
452,0.000000711
453,0.000000521
454,0.000000230
455,0.000001643
456,0.000000131
457,0.000000481
458,0.000001352
459,0.000000221
460,0.000000361
461,0.000000591
462,0.000000391
463,0.000000170
464,0.000000531
465,0.000001452
466,0.000000592
467,0.000000751
468,0.000000150
469,0.000000330
470,0.000000121
471,0.000000280
472,0.000000461
473,0.000000952
474,0.000002024
475,0.000001683
476,0.000000190
477,0.000000291
478,0.000000821
479,0.000000842
480,0.000000491
481,0.000000581
482,0.000000561
483,0.000000611
484,0.000000381
485,0.000000851
486,0.000001623
487,0.000000601
488,0.000000942
489,0.000001102
490,0.000000671
491,0.000001633
492,0.000001493
493,0.000000350
494,0.000001703
495,0.000002334
496,0.000001754
497,0.000001362
498,0.000000480
499,0.000001653
500,0.000000200
501,0.000000141
502,0.000001833
503,0.000000201
504,0.000000571
505,0.000001042
506,0.000000371
507,0.000000371
508,0.000001092
